pos_panda_joint1,pos_panda_joint2,pos_panda_joint3,pos_panda_joint4,pos_panda_joint5,pos_panda_joint6,pos_panda_joint7
0.13243569207610673,-0.4805707683947391,0.06257430983235501,-2.930332329389212,0.06801538978858979,2.3808945433971402,0.6704236548175224
0.15646207914363952,-0.5189162183191955,0.08138856777992665,-2.9505288819429323,0.08818845291528721,2.3598232359018088,0.694610921625463
0.17886716989053308,-0.5438993531969443,0.09951251459377009,-2.9549046034312516,0.10445458598644475,2.339076372333018,0.7158834769152449
0.19800778385303452,-0.5552881774217768,0.11660939817636162,-2.943685180485314,0.11580256293746949,2.319245311003293,0.7343611472912466
0.2117694760508817,-0.552538671863025,0.13150053894306613,-2.917518041927206,0.12150371878885569,2.3010999473332134,0.7495452046288209
0.21881655258291932,-0.5362692773194757,0.1428699504928863,-2.8781580882418663,0.12134764600648129,2.2847667949222377,0.7608794673977153
0.21877519953775604,-0.50713261871421,0.14983777948801436,-2.8264484089168915,0.1156738291552406,2.2693821397103076,0.7682035922798995
0.21274623721725305,-0.47074446748101284,0.15144247661347787,-2.7702253509296044,0.1063079667521416,2.2554125364793407,0.7709398645298355
0.20192701971577343,-0.42747758430569593,0.14806887011895586,-2.707816083379117,0.09405183881925172,2.240634998217555,0.7695781237891124
0.18813352183009968,-0.3821160518051476,0.14006346575431916,-2.6440828110914056,0.08056874626187582,2.2247180999459832,0.7639192415312417
0.17281173575280384,-0.33836677715064134,0.12834137321092864,-2.5821183643360763,0.06722484852062305,2.2073756789416414,0.7541797271771129
0.15614244410103417,-0.297883629951432,0.11301629731936469,-2.5218082122109253,0.05426161226544135,2.187567801681105,0.7395416088188744
0.14063969768201723,-0.2683704486180485,0.09684616090352716,-2.4726370777809557,0.0436818940194863,2.1680295926928927,0.7220341302301732
0.12570408176623715,-0.25013713907090196,0.0798092592821904,-2.4337992006007534,0.034783605954715746,2.1483304926890483,0.701278637352222
0.11147018524955321,-0.24502797890662897,0.0624247791049255,-2.407221097322111,0.027291709387539775,2.1289127077221384,0.6778371244082075
0.09797859942509213,-0.25409369791832503,0.04489179399735921,-2.394225062686931,0.02067296087352677,2.109889025778532,0.6522526294782311
0.0851258671718167,-0.2773970668383381,0.027292126490924495,-2.3951355841305286,0.014200101935171183,2.0910242412982356,0.6250644919245962
0.072769020726005,-0.314116986045061,0.009592661210848341,-2.409346394551088,0.007056339602265815,2.0716363879614583,0.5968024030631982
