eff_panda_joint1,eff_panda_joint2,eff_panda_joint3,eff_panda_joint4,eff_panda_joint5,eff_panda_joint6,eff_panda_joint7
0.4588818799120624,3.6723044863525662,1.850747811892758,-21.341769706597297,-0.5524929747353304,-2.086111368429668,0.01731891596148615
0.8304141190479633,2.301872985960648,2.066001858321722,-22.132626532223835,-0.6475595036276436,-2.2623204031417474,0.017842443542017777
1.5602785601295788,0.6052212719917758,2.9046371461149043,-23.142688429178857,-0.6083991259027741,-2.3222735829199643,0.022940729033329398
2.4653470573888017,-0.19458124463261028,3.505686010100663,-22.9996362009684,-0.7500119416233787,-2.2913447701852583,0.014220184581032583
3.3192909934922823,-0.25679544213254957,4.63216930109949,-22.078380393317445,-0.7530079508910185,-2.1916778867704134,-0.004183348807396157
4.147675835646428,0.45550291661417663,5.424334624922373,-20.729711869597523,-0.8689991570899307,-2.0427567177215105,-0.021620264431623536
4.526628252498517,2.0863514013493782,6.413767572500026,-19.262125432823243,-0.8478192522716927,-1.8154944462986748,-0.020124173596809448
4.92478022671576,4.612992901047005,6.706232556941666,-17.729544106509124,-0.8277471678728381,-1.7236413886489212,-0.03674422327344583
4.470583638771991,8.102055992282928,6.716749027904664,-16.695977529021043,-0.768492970556223,-1.5430575654593217,-0.03365276760754537
3.963067705935427,12.0459915793496,5.865507622310324,-15.963402018983182,-0.6959625666606435,-1.5116107527337501,-0.04018644744667156
2.89381415214705,16.57021830468968,4.790939764078024,-15.793194900824151,-0.5343088232890926,-1.3842032853763702,-0.02497056177600686
1.7572325987474509,20.44721322339842,3.3067962150176355,-16.182415571383157,-0.47623569146695854,-1.3911526351973806,-0.029303732392395962
0.7497161894147195,24.609728101098458,1.8064506432821386,-16.02233546153465,-0.45543117632954055,-1.4649908960607583,-0.014890299854975919
-0.2264159677920432,27.45034226615528,0.7534049966633272,-16.159982337714577,-0.41110709492147973,-1.4095119937275444,-2.3212459528322614e-05
-0.6884044584447739,28.695950709764823,-0.164503142399199,-16.188121950723744,-0.35327542135108475,-1.4569870616395144,-0.006842287056529226
-1.0620759231717292,28.390101481540846,-0.6417952672646295,-16.238612060985652,-0.4083431758742757,-1.4193797240238202,0.0034710323065220445
-1.2600500105545525,26.716748757263694,-0.8128278841435752,-15.98850595060844,-0.34400109470604096,-1.2381369870199668,0.0038183345721312274
-1.0349176030518712,23.718466746320896,-1.0961366817458837,-15.673830071995257,-0.355880633018161,-1.2636654121668314,-0.006141976053538565
-0.9592664938879875,19.89989397080322,-1.1810668772467556,-14.977034819938261,-0.3584031486708699,-1.2407964422691733,0.0016394550076345774
-0.9592664938879875,19.89989397080322,-1.1810668772467556,-14.977034819938261,-0.3584031486708699,-1.2407964422691733,0.0016394550076345774
-0.9557036812023316,15.158600306234836,-1.2246599661722681,-15.315652024444088,-0.4003762936236247,-1.1597438691870312,0.008044278770818699
-0.6456409486125436,10.468578034562016,-1.2858397487059405,-15.469603625968958,-0.4329355334659082,-1.3591358766180763,0.0041526449487611986
-0.43557306136371027,6.057463374919531,-1.480146064083425,-16.395941388701054,-0.5012647195598712,-1.4301837031003037,0.0013868815920186134
-0.3844027871676144,2.0485715506407467,-1.2425124912831902,-17.51481064905129,-0.5102227565531039,-1.5971794117440057,-0.004824621416905936
-0.21554076611481543,-1.6443128018843294,-1.5352078140894592,-18.867320408079642,-0.6518826196672942,-1.7963994567293782,-0.002776892262980296
-0.4341364094159478,-4.386779401232521,-1.6351189152188073,-20.074862559872443,-0.713805220834884,-1.8397868162618283,0.0017859179050406006
